length,probability
0,0.0010364842454394694
1,0.0010364842454394694
2,0.004456882255389718
3,0.07359038142620232
4,0.06322553897180763
5,0.027052238805970148
6,0.031198175787728027
7,0.19485903814262023
8,0.22014925373134328
9,0.11442786069651742
10,0.08841210613598673
11,0.07887645107794361
12,0.04736733001658375
13,0.027466832504145937
14,0.012023217247097845
15,0.005182421227197346
16,0.003316749585406302
17,0.001969320066334992
18,0.0011401326699834163
19,0.0010364842454394694
20,0.0010364842454394694
21,0.0011401326699834163
